1108102,2020-12-16 00:06:01.339109+00,2020-12-16 00:06:01.339123+00,,,SIMPANG TIGA,,,1108,
1108110,2020-12-16 00:06:01.342143+00,2020-12-16 00:06:01.342158+00,,,DARUL IMARAH,,,1108,
1108111,2020-12-16 00:06:01.345078+00,2020-12-16 00:06:01.345114+00,,,DARUL KAMAL,,,1108,
1108120,2020-12-16 00:06:01.348075+00,2020-12-16 00:06:01.348098+00,,,PEUKAN BADA,,,1108,
1108130,2020-12-16 00:06:01.351139+00,2020-12-16 00:06:01.351163+00,,,PULO ACEH,,,1108,
1109010,2020-12-16 00:06:01.354096+00,2020-12-16 00:06:01.354111+00,,,GEUMPANG,,,1109,
1109011,2020-12-16 00:06:01.356577+00,2020-12-16 00:06:01.356591+00,,,MANE,,,1109,
1109070,2020-12-16 00:06:01.359177+00,2020-12-16 00:06:01.359194+00,,,GLUMPANG TIGA,,,1109,
1109071,2020-12-16 00:06:01.361939+00,2020-12-16 00:06:01.361954+00,,,GLUMPANG BARO,,,1109,
1109080,2020-12-16 00:06:01.364748+00,2020-12-16 00:06:01.364762+00,,,MUTIARA,,,1109,
1109081,2020-12-16 00:06:01.367289+00,2020-12-16 00:06:01.367304+00,,,MUTIARA TIMUR,,,1109,
1109090,2020-12-16 00:06:01.369934+00,2020-12-16 00:06:01.369949+00,,,TIRO/TRUSEB,,,1109,
1109100,2020-12-16 00:06:01.372544+00,2020-12-16 00:06:01.372558+00,,,TANGSE,,,1109,
1109111,2020-12-16 00:06:01.375142+00,2020-12-16 00:06:01.375156+00,,,KEUMALA,,,1109,
1109112,2020-12-16 00:06:01.377811+00,2020-12-16 00:06:01.377826+00,,,TITEUE,,,1109,
1109120,2020-12-16 00:06:01.380372+00,2020-12-16 00:06:01.380387+00,,,SAKTI,,,1109,
1109130,2020-12-16 00:06:01.382771+00,2020-12-16 00:06:01.382786+00,,,MILA,,,1109,
1109140,2020-12-16 00:06:01.38529+00,2020-12-16 00:06:01.385317+00,,,PADANG TIJI,,,1109,
1109150,2020-12-16 00:06:01.388447+00,2020-12-16 00:06:01.388478+00,,,DELIMA,,,1109,
1109151,2020-12-16 00:06:01.391811+00,2020-12-16 00:06:01.391843+00,,,GRONG GRONG,,,1109,
1109160,2020-12-16 00:06:01.394973+00,2020-12-16 00:06:01.395004+00,,,INDRAJAYA,,,1109,
1109170,2020-12-16 00:06:01.398153+00,2020-12-16 00:06:01.398166+00,,,PEUKAN BARO,,,1109,
1109180,2020-12-16 00:06:01.400412+00,2020-12-16 00:06:01.400424+00,,,KEMBANG TANJONG,,,1109,
1109190,2020-12-16 00:06:01.402664+00,2020-12-16 00:06:01.402676+00,,,SIMPANG TIGA,,,1109,
1109200,2020-12-16 00:06:01.404939+00,2020-12-16 00:06:01.404951+00,,,KOTA SIGLI,,,1109,
1109210,2020-12-16 00:06:01.406904+00,2020-12-16 00:06:01.406915+00,,,PIDIE,,,1109,
1109220,2020-12-16 00:06:01.408958+00,2020-12-16 00:06:01.408972+00,,,BATEE,,,1109,
1109230,2020-12-16 00:06:01.411541+00,2020-12-16 00:06:01.411558+00,,,MUARA TIGA,,,1109,
1110010,2020-12-16 00:06:01.414231+00,2020-12-16 00:06:01.414245+00,,,SAMALANGA,,,1110,
1110011,2020-12-16 00:06:01.416526+00,2020-12-16 00:06:01.416539+00,,,SIMPANG MAMPLAM,,,1110,
1110020,2020-12-16 00:06:01.419272+00,2020-12-16 00:06:01.419286+00,,,PANDRAH,,,1110,
1110030,2020-12-16 00:06:01.421778+00,2020-12-16 00:06:01.421791+00,,,JEUNIEB,,,1110,
1110031,2020-12-16 00:06:01.424254+00,2020-12-16 00:06:01.424266+00,,,PEULIMBANG,,,1110,
1110040,2020-12-16 00:06:01.426715+00,2020-12-16 00:06:01.426729+00,,,PEUDADA,,,1110,
1110050,2020-12-16 00:06:01.428913+00,2020-12-16 00:06:01.428926+00,,,JULI,,,1110,
1110060,2020-12-16 00:06:01.431344+00,2020-12-16 00:06:01.431357+00,,,JEUMPA,,,1110,
1110061,2020-12-16 00:06:01.433489+00,2020-12-16 00:06:01.433501+00,,,KOTA JUANG,,,1110,
1110062,2020-12-16 00:06:01.43548+00,2020-12-16 00:06:01.435492+00,,,KUALA,,,1110,
1110070,2020-12-16 00:06:01.437458+00,2020-12-16 00:06:01.437469+00,,,JANGKA,,,1110,
1110080,2020-12-16 00:06:01.439466+00,2020-12-16 00:06:01.439477+00,,,PEUSANGAN,,,1110,
1110081,2020-12-16 00:06:01.441418+00,2020-12-16 00:06:01.441429+00,,,PEUSANGAN SELATAN,,,1110,
1110082,2020-12-16 00:06:01.443432+00,2020-12-16 00:06:01.443444+00,,,PEUSANGAN SIBLAH KRUENG,,,1110,
1110090,2020-12-16 00:06:01.44553+00,2020-12-16 00:06:01.445541+00,,,MAKMUR,,,1110,
1110100,2020-12-16 00:06:01.447613+00,2020-12-16 00:06:01.447625+00,,,GANDA PURA,,,1110,
1110101,2020-12-16 00:06:01.449612+00,2020-12-16 00:06:01.449623+00,,,KUTA BLANG,,,1110,
1111010,2020-12-16 00:06:01.451689+00,2020-12-16 00:06:01.451701+00,,,SAWANG,,,1111,
1111020,2020-12-16 00:06:01.453737+00,2020-12-16 00:06:01.453748+00,,,NISAM,,,1111,
1111021,2020-12-16 00:06:01.45581+00,2020-12-16 00:06:01.455821+00,,,NISAM ANTARA,,,1111,
1111022,2020-12-16 00:06:01.457814+00,2020-12-16 00:06:01.457825+00,,,BANDA BARO,,,1111,
1111030,2020-12-16 00:06:01.459788+00,2020-12-16 00:06:01.459801+00,,,KUTA MAKMUR,,,1111,
1111031,2020-12-16 00:06:01.462242+00,2020-12-16 00:06:01.462256+00,,,SIMPANG KERAMAT,,,1111,
1111040,2020-12-16 00:06:01.464293+00,2020-12-16 00:06:01.464307+00,,,SYAMTALIRA BAYU,,,1111,
1111041,2020-12-16 00:06:01.466165+00,2020-12-16 00:06:01.466178+00,,,GEUREUDONG PASE,,,1111,
1111050,2020-12-16 00:06:01.468721+00,2020-12-16 00:06:01.468735+00,,,MEURAH MULIA,,,1111,
